#[0]-k [1]-P_k(z=0) [2]-P_k(z=3) [3]-P_k(z=20)
4.847824E-01 4.298864E+02 4.373887E+01 1.618148E+00 
4.980416E-01 4.048418E+02 4.119059E+01 1.523873E+00 
5.116634E-01 3.811956E+02 3.878479E+01 1.434869E+00 
5.256578E-01 3.588552E+02 3.651199E+01 1.350785E+00 
5.400350E-01 3.377515E+02 3.436505E+01 1.271358E+00 
5.548053E-01 3.178272E+02 3.233809E+01 1.196369E+00 
5.699797E-01 2.990264E+02 3.042537E+01 1.125607E+00 
5.855691E-01 2.812922E+02 2.862107E+01 1.058856E+00 
6.015848E-01 2.645671E+02 2.691937E+01 9.959007E-01 
6.180386E-01 2.487965E+02 2.531471E+01 9.365356E-01 
6.349425E-01 2.339284E+02 2.380184E+01 8.805658E-01 
6.523086E-01 2.199137E+02 2.237575E+01 8.278066E-01 
6.701498E-01 2.067056E+02 2.103172E+01 7.780833E-01 
6.884789E-01 1.942599E+02 1.976527E+01 7.312302E-01 
7.073093E-01 1.825346E+02 1.857215E+01 6.870898E-01 
7.266548E-01 1.714898E+02 1.744833E+01 6.455128E-01 
7.465293E-01 1.610880E+02 1.638996E+01 6.063578E-01 
7.669475E-01 1.512934E+02 1.539343E+01 5.694904E-01 
7.879241E-01 1.420726E+02 1.445530E+01 5.347837E-01 
8.094744E-01 1.333937E+02 1.357232E+01 5.021174E-01 
8.316142E-01 1.252264E+02 1.274141E+01 4.713771E-01 
8.543594E-01 1.175422E+02 1.195963E+01 4.424548E-01 
8.777268E-01 1.103139E+02 1.122422E+01 4.152478E-01 
9.017333E-01 1.035157E+02 1.053255E+01 3.896590E-01 
9.263964E-01 9.712329E+01 9.882132E+00 3.655965E-01 
9.517341E-01 9.111333E+01 9.270614E+00 3.429730E-01 
9.777647E-01 8.546385E+01 8.695763E+00 3.217060E-01 
1.004507E+00 8.015404E+01 8.155466E+00 3.017174E-01 
1.031981E+00 7.516422E+01 7.647728E+00 2.829333E-01 
1.060207E+00 7.047581E+01 7.170663E+00 2.652840E-01 
1.089204E+00 6.607127E+01 6.722488E+00 2.487034E-01 
1.118995E+00 6.193402E+01 6.301520E+00 2.331294E-01 
1.149600E+00 5.804841E+01 5.906166E+00 2.185030E-01 
1.181043E+00 5.439968E+01 5.534927E+00 2.047688E-01 
1.213345E+00 5.097392E+01 5.186381E+00 1.918741E-01 
1.246531E+00 4.775800E+01 4.859192E+00 1.797694E-01 
1.280625E+00 4.473954E+01 4.552095E+00 1.684082E-01 
1.315651E+00 4.190683E+01 4.263898E+00 1.577461E-01 
1.351635E+00 3.924885E+01 3.993477E+00 1.477417E-01 
1.388603E+00 3.675517E+01 3.739771E+00 1.383557E-01 
1.426582E+00 3.441599E+01 3.501781E+00 1.295511E-01 
1.465601E+00 3.222204E+01 3.278564E+00 1.212930E-01 
1.505686E+00 3.016459E+01 3.069232E+00 1.135486E-01 
1.546868E+00 2.823541E+01 2.872946E+00 1.062869E-01 
1.589176E+00 2.642674E+01 2.688919E+00 9.947876E-02 
1.632641E+00 2.473126E+01 2.516408E+00 9.309659E-02 
1.677295E+00 2.314212E+01 2.354712E+00 8.711456E-02 
1.723170E+00 2.165281E+01 2.203174E+00 8.150830E-02 
1.770300E+00 2.025726E+01 2.061172E+00 7.625487E-02 
1.818719E+00 1.894971E+01 1.928125E+00 7.133268E-02 
1.868462E+00 1.772478E+01 1.803481E+00 6.672142E-02 
1.919566E+00 1.657736E+01 1.686726E+00 6.240196E-02 
1.972068E+00 1.550268E+01 1.577372E+00 5.835631E-02 
2.026006E+00 1.449624E+01 1.474961E+00 5.456757E-02 
2.081418E+00 1.355380E+01 1.379066E+00 5.101983E-02 
2.138347E+00 1.267140E+01 1.289280E+00 4.769814E-02 
2.196832E+00 1.184530E+01 1.205225E+00 4.458845E-02 
2.256917E+00 1.107199E+01 1.126543E+00 4.167757E-02 
2.318646E+00 1.034817E+01 1.052900E+00 3.895308E-02 
2.382062E+00 9.670763E+00 9.839802E-01 3.640333E-02 
2.447214E+00 9.036860E+00 9.194874E-01 3.401738E-02 
2.514147E+00 8.443738E+00 8.591441E-01 3.178493E-02 
2.582911E+00 7.888836E+00 8.026892E-01 2.969634E-02 
2.653555E+00 7.369751E+00 7.498776E-01 2.774254E-02 
2.726132E+00 6.884225E+00 7.004796E-01 2.591503E-02 
2.800694E+00 6.430139E+00 6.542791E-01 2.420581E-02 
2.877295E+00 6.005502E+00 6.110736E-01 2.260739E-02 
2.955991E+00 5.608445E+00 5.706730E-01 2.111275E-02 
3.036840E+00 5.237212E+00 5.328989E-01 1.971527E-02 
3.119900E+00 4.890153E+00 4.975840E-01 1.840877E-02 
3.205231E+00 4.565723E+00 4.645713E-01 1.718744E-02 
3.292897E+00 4.262473E+00 4.337137E-01 1.604585E-02 
3.382960E+00 3.979045E+00 4.048732E-01 1.497887E-02 
3.475487E+00 3.714166E+00 3.779204E-01 1.398173E-02 
3.570544E+00 3.466644E+00 3.527341E-01 1.304995E-02 
3.668201E+00 3.235362E+00 3.292007E-01 1.217931E-02 
3.768529E+00 3.019274E+00 3.072137E-01 1.136588E-02 
3.871601E+00 2.817399E+00 2.866733E-01 1.060597E-02 
3.977493E+00 2.628820E+00 2.674860E-01 9.896123E-03 
4.086280E+00 2.452678E+00 2.495643E-01 9.233093E-03 
4.198043E+00 2.288166E+00 2.328261E-01 8.613848E-03 
4.312863E+00 2.134531E+00 2.171946E-01 8.035547E-03 
4.430823E+00 1.991065E+00 2.025979E-01 7.495528E-03 
4.552009E+00 1.857108E+00 1.889687E-01 6.991300E-03 
4.676510E+00 1.732040E+00 1.762438E-01 6.520529E-03 
4.804416E+00 1.615280E+00 1.643642E-01 6.081032E-03 
4.935821E+00 1.506287E+00 1.532747E-01 5.670765E-03 
5.070819E+00 1.404552E+00 1.429236E-01 5.287813E-03 
5.209510E+00 1.309600E+00 1.332624E-01 4.930388E-03 
5.351994E+00 1.220985E+00 1.242459E-01 4.596813E-03 
5.498375E+00 1.138292E+00 1.158318E-01 4.285521E-03 
5.648760E+00 1.061131E+00 1.079803E-01 3.995047E-03 
5.803258E+00 9.891375E-01 1.006544E-01 3.724019E-03 
5.961982E+00 9.219703E-01 9.381952E-02 3.471154E-03 
6.125046E+00 8.593099E-01 8.744311E-02 3.235251E-03 
6.292571E+00 8.008577E-01 8.149488E-02 3.015189E-03 
6.464678E+00 7.463347E-01 7.594647E-02 2.809919E-03 
6.641492E+00 6.954799E-01 7.077138E-02 2.618460E-03 
6.823141E+00 6.480497E-01 6.594484E-02 2.439895E-03 
7.009760E+00 6.038162E-01 6.144368E-02 2.273367E-03 
7.201482E+00 5.625668E-01 5.724625E-02 2.118077E-03 
7.398448E+00 5.241026E-01 5.333234E-02 1.973274E-03 
7.600801E+00 4.882381E-01 4.968305E-02 1.838262E-03 
7.808689E+00 4.548001E-01 4.628071E-02 1.712385E-03 
8.022263E+00 4.236267E-01 4.310882E-02 1.595034E-03 
